A Love Movie (2003),2.75,2.0
The Defector (1966),2.0,1.0
'49-'17 (1917),2.625,4.0
The New Monsters (1977),3.0,7.0
Revue (2008),3.5,2.0
The Man Who Will Come (2010),3.5714285714285716,7.0
Fired Up (2009),3.094164456233422,377.0
Honeycomb (1969),2.0,1.0
Bloodsport 2 (a.k.a. Bloodsport II: The Next Kumite) (1996),2.56532877882152,1171.0
"Presidio, The (1988)",3.134831460674157,1335.0
The Book of Revelation (2006),2.0,1.0
Port of Shadows (Quai des brumes) (1938),3.793548387096774,155.0
Baadshah (1999),3.4761904761904763,21.0
Flamenco at 5:15 (1983),5.0,1.0
Tainá: Uma Aventura na Amazônia (2001),3.0,1.0
"Wax, or the Discovery of Television Among the Bees (1991)",2.7857142857142856,7.0
Cool It (2010),3.1923076923076925,13.0
"Hollywood Revue of 1929, The (1929)",2.1666666666666665,12.0
The Hillz (2004),1.0,3.0
Live (2014),2.5,2.0
Ajlawju (1999),3.3333333333333335,3.0
Pat Garrett and Billy the Kid (1973),3.535928143712575,334.0
Isadora (1968),3.3,10.0
Mr. Roosevelt (2017),3.7,10.0
The Graduation (2017),3.25,4.0
My Best Enemy (2006),2.0,3.0
1812 (1912),1.5,2.0
Local Color (1977),3.75,4.0
True North (2006),2.75,2.0
Villain (1971),3.8333333333333335,3.0
Maudie (2017),3.4901960784313726,51.0
Kiss of the Damned (2012),2.9318181818181817,22.0
Silent Night (2012),2.45,20.0
Sweet Deceptions (1960),3.0,2.0
Doctor Who: The Runaway Bride (2007),3.9484029484029484,407.0
Cenizas del Paraiso (1997),3.25,4.0
Madonna of the Seven Moons (1945),3.0,3.0
The Mouth Agape (1974),4.5,2.0
Dharmathin Thalaivan (1988),3.5,1.0
Riff-Raff (1991),3.4074074074074074,27.0
Annabelle's Wish (1997),3.7,5.0
"Stepford Wives, The (1975)",3.278678556951763,2467.0
Robotropolis (2011),3.5,2.0
Go Ask Alice (1973),2.5,1.0
Flowers of Shanghai (1998),3.4583333333333335,24.0
Fighter Pilot: Operation Red Flag (2004),3.375,4.0
Good Kill (2014),3.418918918918919,111.0
Fiston (2014),2.4285714285714284,7.0
Getting Even with Dad (1994),2.4293933054393304,956.0
Strapped (2010),3.7,10.0
